frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
275,1,2048.6494667225297 1223.2904587812523 2615.135072304649 1702.8092049977274,2236.785245028409 1502.6293612393465 2475.7355513139205 1620.4629239169035,0,0,0
276,1,2049.436001131555 1225.1480474240514 2616.774235977697 1705.5548396300494,2237.5783913352275 1505.6062233664773 2475.1273082386365 1622.7155539772727,0,0,0
277,1,2050.22253554058 1227.0056360668505 2618.4133996507453 1708.3004742623714,2238.3715376420455 1508.583085493608 2474.5190651633525 1624.968184037642,0,0,0
278,1,2051.0090699496045 1228.8632247096496 2620.0525633237935 1711.0461088946936,2239.1646839488635 1511.5599476207387 2473.910822088068 1627.2208140980113,0,0,0
279,1,2051.795604358629 1230.7208133524489 2621.691726996842 1713.7917435270156,2239.957830255682 1514.5368097478693 2473.302579012784 1629.4734441583807,0,0,0
280,1,2052.582138767654 1232.578401995248 2623.3308906698903 1716.5373781593375,2240.7509765625 1517.513671875 2472.6943359375 1631.72607421875,0.25619974732398987,AP05JEO,0.4825152525180078
281,1,2051.828584911628 1234.2499576914392 2624.5884133657837 1720.3080477289645,2236.3292846679688 1519.0814666748047 2476.3311157226562 1635.3551330566406,0,0,0
282,1,2051.0750310556014 1235.9215133876307 2625.845936061677 1724.0787172985918,2231.9075927734375 1520.6492614746094 2479.9678955078125 1638.9841918945312,0,0,0
283,1,2050.321477199575 1237.5930690838222 2627.1034587575705 1727.849386868219,2227.4859008789062 1522.217056274414 2483.6046752929688 1642.6132507324219,0,0,0
284,1,2049.5679233435485 1239.2646247800135 2628.360981453464 1731.620056437846,2223.064208984375 1523.7848510742188 2487.241455078125 1646.2423095703125,0,0,0
285,1,2048.8143694875216 1240.9361804762048 2629.6185041493577 1735.390726007473,2218.6425170898438 1525.3526458740234 2490.8782348632812 1649.8713684082031,0,0,0
286,1,2048.060815631495 1242.6077361723962 2630.876026845251 1739.1613955771002,2214.2208251953125 1526.9204406738281 2494.5150146484375 1653.5004272460938,0,0,0
287,1,2047.3072617754688 1244.2792918685877 2632.1335495411445 1742.9320651467274,2209.7991333007812 1528.4882354736328 2498.1517944335938 1657.1294860839844,0,0,0
288,1,2046.5537079194423 1245.950847564779 2633.391072237038 1746.7027347163544,2205.37744140625 1530.0560302734375 2501.78857421875 1660.758544921875,0.32442983984947205,AP05JEO,0.3783462864863121
289,1,2046.9493584282448 1248.1300815767108 2635.257856059203 1749.336959593451,2215.2164306640625 1531.5340576171875 2507.5238037109375 1662.2319946289062,0,0,0
290,1,2047.3450089370472 1250.309315588643 2637.1246398813673 1751.9711844705473,2225.055419921875 1533.0120849609375 2513.259033203125 1663.7054443359375,0.48015260696411133,AP05JEO,0.3769991154711412
291,1,2047.5591001037683 1253.2340740118502 2638.936013848718 1755.815697858257,2223.243408203125 1522.9610595703125 2509.12158203125 1675.5626220703125,0.4094046652317047,AP05JEO,0.3235249209932813
292,1,2047.7856896248688 1255.2958845801968 2640.36572334176 1758.8828838893064,2226.0315987723216 1527.8823067801338 2510.116768973214 1677.2594342912946,0,0,0
293,1,2048.0122791459694 1257.3576951485436 2641.795432834802 1761.9500699203556,2228.8197893415177 1532.8035539899554 2511.1119559151784 1678.9562465122767,0,0,0
294,1,2048.23886866707 1259.4195057168902 2643.2251423278435 1765.017255951405,2231.607979910714 1537.7248011997767 2512.1071428571427 1680.6530587332588,0,0,0
295,1,2048.4654581881705 1261.4813162852367 2644.654851820885 1768.0844419824546,2234.396170479911 1542.6460484095983 2513.1023297991073 1682.3498709542412,0,0,0
296,1,2048.6920477092713 1263.5431268535833 2646.0845613139268 1771.151628013504,2237.1843610491073 1547.5672956194196 2514.0975167410716 1684.0466831752233,0,0,0
297,1,2048.9186372303716 1265.6049374219301 2647.514270806969 1774.2188140445533,2239.9725516183034 1552.4885428292412 2515.092703683036 1685.7434953962054,0,0,0
298,1,2049.1452267514724 1267.6667479902767 2648.9439803000105 1777.2860000756027,2242.7607421875 1557.4097900390625 2516.087890625 1687.4403076171875,0.32623985409736633,AP05JEO,0.29945179844451447
299,1,2048.654245314283 1269.7586540975844 2650.0887550264806 1780.1334498145793,2243.77294921875 1559.7259063720703 2515.635009765625 1690.267562866211,0,0,0
300,1,2048.1632638770934 1271.8505602048924 2651.233529752951 1782.980899553556,2244.78515625 1562.0420227050781 2515.18212890625 1693.0948181152344,0,0,0
301,1,2047.6722824399042 1273.9424663122004 2652.378304479422 1785.8283492925325,2245.79736328125 1564.358139038086 2514.729248046875 1695.9220733642578,0,0,0
302,1,2047.181301002715 1276.0343724195081 2653.523079205892 1788.675799031509,2246.8095703125 1566.6742553710938 2514.2763671875 1698.7493286132812,0,0,0
303,1,2046.6903195655254 1278.126278526816 2654.667853932362 1791.5232487704857,2247.82177734375 1568.9903717041016 2513.823486328125 1701.5765838623047,0,0,0
304,1,2046.199338128336 1280.2181846341239 2655.8126286588326 1794.3706985094623,2248.833984375 1571.3064880371094 2513.37060546875 1704.4038391113281,0,0,0
305,1,2045.7083566911467 1282.3100907414318 2656.957403385303 1797.2181482484389,2249.84619140625 1573.6226043701172 2512.917724609375 1707.2310943603516,0,0,0
306,1,2045.2173752539572 1284.4019968487396 2658.1021781117734 1800.0655979874155,2250.8583984375 1575.938720703125 2512.46484375 1710.058349609375,0.47603872418403625,AP05JEO,0.7946552614838046
307,1,2044.4238048110828 1285.1832338737754 2658.1399711122094 1801.5967844585566,2250.808837890625 1575.966552734375 2512.528076171875 1710.0693359375,0.47652381658554077,AP05JEO,0.5156158498294062
308,1,2044.631822164577 1285.3147377730984 2661.3827443380114 1803.2459482572913,2236.02099609375 1583.2664794921875 2515.545654296875 1714.9486083984375,0.543003499507904,AP05JEO,0.6190534283162827
309,1,2045.7635976586535 1286.6729435605769 2664.2769343304262 1805.7532432772266,2210.796630859375 1568.7642822265625 2537.5146484375 1722.0546875,0.4026276171207428,AP05JEO,0.4132492182082102
310,1,2048.9722571514785 1290.764508883341 2670.7460483494074 1809.8404279045021,2243.155517578125 1579.5718383789062 2535.1688232421875 1723.3779296875,0,0,0
311,1,2052.1809166443036 1294.856074206105 2677.2151623683885 1813.9276125317774,2275.514404296875 1590.37939453125 2532.822998046875 1724.701171875,0.2573692202568054,AP05JEO,0.620520934129691
312,1,2052.710772795289 1297.9673189228633 2675.047615137846 1817.2299055771332,2269.760009765625 1589.4844665527344 2536.1389770507812 1729.9767150878906,0,0,0
313,1,2053.2406289462747 1301.078563639622 2672.8800679073033 1820.5321986224887,2264.005615234375 1588.5895385742188 2539.4549560546875 1735.2522583007812,0,0,0
314,1,2053.7704850972605 1304.1898083563806 2670.7125206767605 1823.8344916678443,2258.251220703125 1587.6946105957031 2542.7709350585938 1740.5278015136719,0,0,0
315,1,2054.300341248246 1307.301053073139 2668.544973446218 1827.1367847132,2252.496826171875 1586.7996826171875 2546.0869140625 1745.8033447265625,0.28216832876205444,AP05JEO,0.38480338216298765
316,1,2049.8984998259766 1308.1036093434554 2666.9339251590545 1828.5865459386682,2224.6610107421875 1594.4445190429688 2535.8089599609375 1741.2061157226562,0,0,0
317,1,2045.496658403707 1308.906165613772 2665.3228768718914 1830.0363071641364,2196.8251953125 1602.08935546875 2525.531005859375 1736.60888671875,0.32740581035614014,AP05JEO,0.24023021564193014
318,1,2047.8562133813132 1310.5650133764645 2667.530633656532 1832.4134071365238,2225.0953776041665 1605.1205240885417 2525.9401041666665 1738.1608072916667,0,0,0
319,1,2050.2157683589194 1312.2238611391572 2669.7383904411718 1834.790507108911,2253.3655598958335 1608.1516927083333 2526.3492024739585 1739.7127278645833,0,0,0
320,1,2052.5753233365253 1313.8827089018498 2671.946147225812 1837.1676070812985,2281.6357421875 1611.182861328125 2526.75830078125 1741.2646484375,0.2789081335067749,AP05JEO,0.31798037414020575
321,1,2052.890282513381 1317.0601926440247 2671.548673610546 1841.2416262680874,2274.6525065104165 1612.2666829427083 2529.8287760416665 1752.7797444661458,0,0,0
322,1,2053.205241690237 1320.2376763861998 2671.151199995279 1845.3156454548762,2267.6692708333335 1613.3505045572917 2532.8992513020835 1764.2948404947917,0,0,0
