frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
32,5.0,[2201.314283789265 1223.4852413251008 2822.2377644437806 1834.1326720520426],[2441.556396484375 1624.9168701171875 2597.149658203125 1731.6153564453125],0.2831549346446991,NV51WSU,0.0777621917455029
35,5.0,[2202.284048717731 1233.5021596908248 2825.344789202991 1850.96941031129],[2414.996337890625 1637.8319091796875 2611.842041015625 1750.6468505859375],0.3357369005680084,MD51VSU,0.2572886864722693
36,3.0,[671.9413135167089 1480.6195892851513 1393.0683099254688 2133.582274468164],[885.708984375 1890.9510498046875 1138.540283203125 2016.6375732421875],0.3384062647819519,NA13NRU,0.5090604456364826
37,5.0,[2199.6511512552156 1248.499474579373 2828.762785451185 1860.680213134671],[2411.548095703125 1637.5635986328125 2618.63671875 1760.5042724609375],0.4172790050506592,MD51VSU,0.19540687770666745
37,3.0,[670.8262712235303 1483.0549739677122 1391.7802659289093 2135.1642318760573],[885.759033203125 1890.746337890625 1138.604736328125 2016.781494140625],0.34209778904914856,NA13NRU,0.26301484235989797
40,3.0,[668.4866910189209 1496.8438909514384 1393.3502023214105 2146.5422685517283],[868.7763061523438 1908.86572265625 1139.6910400390625 2035.8511962890625],0.511191725730896,NA13NRU,0.399006854705283
41,5.0,[2206.720764604173 1251.0943532628132 2846.022538229205 1868.994218376358],[2416.90576171875 1647.7020263671875 2621.370361328125 1769.6246337890625],0.4469336271286011,LI51VSU,0.20365030950311286
42,3.0,[660.3864107337637 1508.2792323909748 1387.4493280980055 2151.209066259548],[869.6158447265625 1901.502685546875 1155.2666015625 2050.364013671875],0.33701109886169434,NA13NRU,0.5193088935988813
42,5.0,[2205.520285998865 1250.0250058783827 2846.880834059055 1871.703467535222],[2423.07373046875 1657.880126953125 2622.30859375 1782.4691162109375],0.2544355094432831,MO51VSU,0.09889994134383147
43,3.0,[658.181390706528 1511.1973672849574 1386.0697325470119 2151.28222688431],[869.5645751953125 1901.46142578125 1155.406982421875 2050.36376953125],0.3400614559650421,NA13NRU,0.5193088935988813
44,3.0,[656.511126250502 1511.9779315238118 1384.8638682264825 2151.1812915294668],[858.0069580078125 1912.5802001953125 1149.8995361328125 2055.7392578125],0.4333623945713043,NA13MRU,0.27798331919571356
44,5.0,[2207.081066909489 1251.9978123542496 2853.267054206124 1876.896061825697],[2428.82470703125 1655.0906982421875 2630.30078125 1782.3834228515625],0.31761375069618225,NL51VSU,0.4890341795682849
46,3.0,[652.6581636230501 1517.9004985653048 1382.9836523324043 2152.6061900392233],[862.3174438476562 1919.5689697265625 1150.83154296875 2068.01318359375],0.4761526584625244,NA13MRU,0.2551965865691479
47,3.0,[650.7496080998532 1518.8215725373361 1382.4609065818622 2151.172031162773],[853.9411010742188 1922.6912841796875 1155.1663818359375 2084.090576171875],0.4519086182117462,NA13NRU,0.3652603386509425
51,3.0,[648.4604717653666 1532.195280482873 1380.540091207391 2152.746985240928],[865.9784545898438 1951.91015625 1124.1573486328125 2081.630126953125],0.35013502836227417,NA13NRU,0.20239974028951283
53,5.0,[2207.1687862680883 1267.561481821847 2855.1378516130326 1909.8367820991523],[2417.035400390625 1688.7703857421875 2629.3466796875 1811.8436279296875],0.27731212973594666,LT51VSU,0.06588635248459317
56,3.0,[636.4029519943541 1550.2569413079113 1378.9409383486782 2152.1645008864944],[857.7899780273438 1970.486572265625 1125.4595947265625 2101.831787109375],0.29782170057296753,NA13MRU,0.13998301323177703
57,3.0,[627.5518931228212 1553.7942133727197 1372.5188293479935 2152.081206527281],[858.3018188476562 1979.9862060546875 1124.8319091796875 2114.519287109375],0.2730412781238556,NA13NRU,0.21535212677997195
58,3.0,[629.9808796974323 1558.274565199236 1372.972826509811 2152.4954268436636],[863.3322143554688 1984.2052001953125 1100.8228759765625 2106.008056640625],0.30748438835144043,NA13NRU,0.5055655925806284
69,5.0,[2215.9743271964353 1315.269498298415 2872.816101793702 1972.0758241530586],[2440.443603515625 1742.27490234375 2635.76220703125 1864.026123046875],0.4830589294433594,NU51VSU,0.29493625825692127
90,5.0,[2219.9607532886916 1374.6768050559779 2908.464397125758 2061.5100385136857],[2453.774658203125 1827.7935791015625 2678.837646484375 1952.80517578125],0.4887976348400116,CT51VSU,0.2739507341527557
91,5.0,[2219.2184381726465 1374.9055240482917 2908.957035766486 2063.242635869516],[2453.892578125 1827.755859375 2678.906982421875 1952.772216796875],0.4878889322280884,LT51VSU,0.10490570609776224
92,5.0,[2222.2369096552475 1378.564050222713 2911.262182464625 2066.8227327638915],[2444.34521484375 1827.627685546875 2678.6103515625 1953.6650390625],0.3463173508644104,IY51VSU,0.0686388199261819
98,5.0,[2223.9405481519816 1398.4785372514334 2924.61940070109 2089.2267402477137],[2458.86767578125 1855.5076904296875 2669.797119140625 1972.5296630859375],0.332059770822525,MT51VSU,0.32724339180234935
113,5.0,[2236.921765863558 1447.9232014757886 2956.285732973053 2142.141888966783],[2483.223876953125 1912.9783935546875 2716.894287109375 2051.473388671875],0.4038505256175995,CD51VSU,0.14788998048414298
119,6.0,[1086.9209676068863 1209.0894959035465 1710.5514116890245 1693.7785496886565],[1157.384765625 1478.6697998046875 1486.5177001953125 1604.875244140625],0.3549668490886688,GX15OCJ,0.3665669717855455
125,6.0,[1075.8657958615554 1222.684088011749 1696.2185744902808 1708.5065068985148],[1290.55859375 1497.2779541015625 1482.1103515625 1622.74365234375],0.3482751250267029,GX15OGJ,0.30933929820366113
126,6.0,[1077.7625954864825 1227.5114418691749 1695.934004188361 1712.407392480405],[1280.218017578125 1505.211181640625 1494.3892822265625 1633.359375],0.37596961855888367,GX15OGJ,0.1789428817552171
127,6.0,[1078.6816366670098 1229.4090502193105 1694.8051524522527 1713.5867629162756],[1280.2999267578125 1505.145263671875 1494.4156494140625 1633.34765625],0.37534964084625244,GX15OGJ,0.1789428817552171
128,6.0,[1078.437532435558 1231.540978498182 1695.923059395888 1715.7538006439968],[1278.22412109375 1495.098388671875 1503.135986328125 1633.783935546875],0.27205032110214233,GX15OCJ,0.18116006151339364
129,6.0,[1076.741415310452 1234.0222384546678 1695.0732387107907 1717.9417503859195],[1273.0946044921875 1507.3963623046875 1476.8009033203125 1629.7327880859375],0.4085703194141388,GX15OGJ,0.17807372903857888
131,5.0,[2253.875512566265 1501.2797611376316 2970.2849725171604 2146.8391395923964],[2511.58740234375 1986.3927001953125 2728.03857421875 2108.652587890625],0.4898422956466675,MI51VSU,0.214642742247112
132,6.0,[1071.9424262284704 1239.5719314488572 1690.7484576681761 1725.6342657475182],[1276.629150390625 1518.2667236328125 1472.0836181640625 1634.0867919921875],0.26559925079345703,GX15OGJ,0.8290659931100949
133,6.0,[1071.322770742295 1240.1081014727351 1690.6950479988461 1727.4477255135607],[1276.60400390625 1518.2449951171875 1472.016357421875 1634.0855712890625],0.2665385603904724,GX15OGJ,0.8290659931100949
134,5.0,[2259.119447870098 1505.8703839470425 2973.09853908289 2147.0091096348574],[2516.60107421875 2003.958251953125 2745.353759765625 2135.674072265625],0.4416254460811615,MT51TSU,0.04356905262073136
142,6.0,[1059.4996011421727 1259.0521449228956 1688.257404504417 1756.0832556048515],[1265.8785400390625 1533.220458984375 1480.3375244140625 1664.62060546875],0.29992520809173584,GX15OGJ,0.519209158590922
146,6.0,[1051.154509888494 1265.5200890695662 1682.198707259044 1766.0243852484534],[1198.2960205078125 1551.6331787109375 1471.783447265625 1682.6187744140625],0.26784104108810425,GX15OGJ,0.5909697791424378
154,6.0,[1044.4009610409216 1282.1590353213376 1689.5536026430304 1790.8772906711827],[1202.0650634765625 1574.888427734375 1463.59326171875 1707.862548828125],0.32058870792388916,GX15OGJ,0.3926535201962746
156,6.0,[1038.7034375281614 1287.1211507291814 1684.6898805904693 1801.2656431002574],[1256.6121826171875 1581.8609619140625 1471.3388671875 1711.0733642578125],0.41879090666770935,GX15OGJ,0.36840080644873974
157,6.0,[1037.2032976777825 1287.1014203410705 1681.9678400087043 1802.8997036268634],[1256.6251220703125 1581.7825927734375 1471.3704833984375 1711.1656494140625],0.4184574782848358,GX15OGJ,0.36840080644873974
159,6.0,[1032.9439504761378 1293.5055670599513 1682.8622993098973 1810.175035845351],[1202.1507568359375 1589.848388671875 1452.6990966796875 1719.731689453125],0.2782053053379059,GX15OGJ,0.29053366159550625
160,6.0,[1028.7357524474446 1295.817548396784 1681.781288171725 1810.911737314783],[1235.8369140625 1602.2742919921875 1460.9017333984375 1717.2015380859375],0.3394707143306732,GX15OGJ,0.3061222392366147
164,6.0,[1013.6462040312492 1307.9568063979902 1677.7701897045865 1825.813918714943],[1242.791015625 1611.3299560546875 1456.23779296875 1726.4835205078125],0.4369250535964966,GX15OGJ,0.3759202647186107
165,6.0,[1015.4396447669701 1312.5383847490223 1679.17569785239 1831.768949791389],[1240.5208740234375 1614.7537841796875 1450.2408447265625 1735.026611328125],0.3713359236717224,GX15OGJ,0.6129668913148744
